ticker,rank,date,last_price,ret_1m,ret_3m,ret_6m,ret_12m,vol_ann,max_drawdown,from_52w_high,momentum_score,quality_score,composite_score
MU,1,2026-09-14,975.26,0.0702,-0.0205,1.4074,5.4875,0.8143,-0.391,-0.1962,6.5454,-2.1378,2.2038
VLO,2,2026-09-14,390.42,0.1823,0.5334,0.67,1.53,0.362,-0.1212,0.0,1.5236,0.1253,0.8245
INTC,3,2026-09-14,102.94,0.0197,-0.1199,1.2749,3.1829,0.7965,-0.419,-0.2696,3.621,-2.0488,0.7861
MPC,4,2026-09-14,395.93,0.14,0.5222,0.7322,1.208,0.3427,-0.1833,-0.0088,1.115,0.2219,0.6685
PSX,5,2026-09-14,259.47,0.1563,0.4646,0.5092,1.0159,0.3092,-0.1728,-0.005,0.8713,0.3895,0.6304
JNJ,6,2026-09-14,265.58,0.0231,0.1198,0.109,0.5214,0.1915,-0.1096,-0.0462,0.2438,0.9785,0.6111
CSX,7,2026-09-14,48.95,-0.0199,0.0362,0.2553,0.5093,0.2224,-0.1158,-0.0779,0.2284,0.8238,0.5261
TTE,8,2026-09-14,91.89,0.0478,0.0475,0.1407,0.561,0.2462,-0.2009,-0.0183,0.294,0.7048,0.4994
TGT,9,2026-09-14,155.83,0.0119,0.1839,0.3694,0.7716,0.3064,-0.1333,-0.0828,0.5613,0.4035,0.4824
TRV,10,2026-09-14,375.2,0.0171,0.2388,0.2518,0.3633,0.2084,-0.0881,-0.0522,0.0432,0.8939,0.4685
HOOD,147,2026-09-14,112.57,0.1861,0.2205,0.4788,-0.044,0.7219,-0.5726,-0.2616,-0.4737,-1.6755,-1.0746
ZS,148,2026-09-14,164.54,-0.0721,0.3047,0.0853,-0.426,0.632,-0.6489,-0.5107,-0.9584,-1.2257,-1.092
MRNA,149,2026-09-14,143.97,1.2612,1.9003,1.6966,4.6703,1.9257,-0.3416,-0.1744,5.5084,-7.6989,-1.0952
COIN,150,2026-09-14,175.26,0.1759,0.0924,-0.093,-0.459,0.7078,-0.6357,-0.5474,-1.0003,-1.6049,-1.3026
SMCI,151,2026-09-14,40.1,0.0662,0.2543,0.2977,-0.0876,0.9157,-0.6501,-0.3166,-0.529,-2.6452,-1.5871
