ticker,rank,date,last_price,ret_1m,ret_3m,ret_6m,ret_12m,vol_ann,max_drawdown,from_52w_high,momentum_score,quality_score,composite_score
MU,1,2026-09-14,975.26,0.0702,-0.0205,1.4074,5.4875,0.8143,-0.391,-0.1962,6.5454,-2.1378,2.2038
VLO,2,2026-09-14,390.42,0.1823,0.5334,0.67,1.53,0.362,-0.1212,0.0,1.5236,0.1253,0.8245
INTC,3,2026-09-14,102.94,0.0197,-0.1199,1.2749,3.1829,0.7965,-0.419,-0.2696,3.621,-2.0488,0.7861
MPC,4,2026-09-14,395.93,0.14,0.5222,0.7322,1.208,0.3427,-0.1833,-0.0088,1.115,0.2219,0.6685
PSX,5,2026-09-14,259.47,0.1563,0.4646,0.5092,1.0159,0.3092,-0.1728,-0.005,0.8713,0.3895,0.6304
JNJ,6,2026-09-14,265.58,0.0231,0.1198,0.109,0.5214,0.1915,-0.1096,-0.0462,0.2438,0.9785,0.6111
CSX,7,2026-09-14,48.95,-0.0199,0.0362,0.2553,0.5093,0.2224,-0.1158,-0.0779,0.2284,0.8238,0.5261
TTE,8,2026-09-14,91.89,0.0478,0.0475,0.1407,0.561,0.2462,-0.2009,-0.0183,0.294,0.7048,0.4994
TGT,9,2026-09-14,155.83,0.0119,0.1839,0.3694,0.7716,0.3064,-0.1333,-0.0828,0.5613,0.4035,0.4824
TRV,10,2026-09-14,375.2,0.0171,0.2388,0.2518,0.3633,0.2084,-0.0881,-0.0522,0.0432,0.8939,0.4685
MRK,11,2026-09-14,143.93,0.0828,0.2004,0.2599,0.7468,0.3058,-0.1137,-0.08,0.5298,0.4065,0.4682
XOM,12,2026-09-14,165.99,0.0458,0.1396,0.0955,0.5231,0.2568,-0.2011,-0.0191,0.2459,0.6517,0.4488
SHEL,13,2026-09-14,96.77,0.0838,0.1371,0.1148,0.3936,0.226,-0.1798,0.0,0.0816,0.8058,0.4437
RIO,14,2026-09-14,99.96,0.0092,-0.0143,0.1263,0.6791,0.3027,-0.2074,-0.0882,0.4439,0.422,0.433
AMD,15,2026-09-14,516.13,0.0687,0.0567,1.6101,2.3155,0.7182,-0.2776,-0.1115,2.5204,-1.657,0.4317
CVX,16,2026-09-14,214.06,0.0983,0.162,0.1063,0.406,0.2345,-0.2081,0.0,0.0973,0.7633,0.4303
UNP,17,2026-09-14,284.4,-0.0273,0.065,0.1766,0.3442,0.2236,-0.1228,-0.0802,0.0189,0.8178,0.4184
AAPL,18,2026-09-14,332.27,0.0993,0.1249,0.3015,0.4498,0.2508,-0.138,-0.0221,0.1529,0.6817,0.4173
PBR,19,2026-09-14,21.2,0.2287,0.1964,0.166,0.7471,0.3294,-0.2686,-0.0084,0.5302,0.2884,0.4093
MRVL,20,2026-09-14,236.1,0.0876,-0.1587,1.6951,2.5531,0.7904,-0.4835,-0.2537,2.8219,-2.0182,0.4018
CB,21,2026-09-14,338.25,-0.0118,0.0378,0.0357,0.2066,0.1959,-0.0936,-0.0667,-0.1557,0.9564,0.4004
BAC,22,2026-09-14,62.69,-0.0278,0.1423,0.3439,0.2616,0.2117,-0.1793,-0.0278,-0.0859,0.8774,0.3957
NSC,23,2026-09-14,320.27,-0.0451,0.0354,0.1087,0.1895,0.2061,-0.1247,-0.0927,-0.1774,0.9054,0.364
AMAT,24,2026-09-14,456.49,-0.1663,-0.1731,0.3566,1.6977,0.5952,-0.3964,-0.3679,1.7364,-1.0415,0.3474
CAT,25,2026-09-14,818.57,-0.0433,-0.0864,0.1726,0.9146,0.3972,-0.267,-0.2299,0.7427,-0.0508,0.346
CSCO,26,2026-09-14,112.13,-0.0948,-0.0762,0.4556,0.6908,0.3408,-0.1704,-0.1342,0.4587,0.2314,0.3451
JPM,27,2026-09-14,356.23,-0.0245,0.1415,0.2714,0.1881,0.2206,-0.1547,-0.0245,-0.1792,0.8328,0.3268
COP,28,2026-09-14,137.35,0.0861,0.1986,0.1583,0.5052,0.3019,-0.2228,0.0,0.2232,0.4261,0.3246
BMY,29,2026-09-14,63.64,-0.0009,0.1311,0.103,0.4029,0.2772,-0.1253,-0.0654,0.0934,0.5496,0.3215
MET,30,2026-09-14,97.14,0.005,0.116,0.4318,0.2436,0.2373,-0.1746,-0.0281,-0.1087,0.7493,0.3203
ALL,31,2026-09-14,253.71,-0.0042,0.1603,0.2491,0.2773,0.2481,-0.1148,-0.0739,-0.066,0.6952,0.3146
MS,32,2026-09-14,214.38,-0.015,0.0136,0.4039,0.4011,0.2798,-0.1883,-0.0568,0.0911,0.5366,0.3139
FTNT,33,2026-09-14,156.07,-0.0297,0.0759,0.8492,0.9294,0.4148,-0.1434,-0.0967,0.7615,-0.1389,0.3113
ASML,34,2026-09-14,1698.3,-0.0617,-0.1048,0.2609,1.1258,0.4655,-0.2195,-0.1452,1.0107,-0.3925,0.3091
C,35,2026-09-14,138.82,0.009,0.0105,0.3288,0.4345,0.2913,-0.1476,-0.0422,0.1335,0.4791,0.3063
TER,36,2026-09-14,379.72,-0.0568,-0.004,0.3259,2.2923,0.7631,-0.3398,-0.2149,2.4909,-1.8816,0.3046
PRU,37,2026-09-14,119.24,-0.0173,0.1324,0.324,0.1735,0.2261,-0.2146,-0.0361,-0.1977,0.8053,0.3038
PFE,38,2026-09-14,27.72,0.0536,0.0778,0.0674,0.1932,0.2362,-0.1572,-0.0448,-0.1727,0.7548,0.2911
BP,39,2026-09-14,46.1,0.087,0.0934,0.1196,0.4063,0.2908,-0.2323,-0.009,0.0977,0.4816,0.2897
VZ,40,2026-09-14,50.61,0.0773,0.0966,0.0319,0.2249,0.2499,-0.1705,0.0,-0.1325,0.6862,0.2769
LIN,41,2026-09-14,466.22,-0.0244,-0.0925,-0.0432,-0.0228,0.1913,-0.1918,-0.1443,-0.4468,0.9795,0.2663
RSG,42,2026-09-14,222.74,0.0396,0.0737,-0.0078,-0.0297,0.1915,-0.1463,-0.0355,-0.4555,0.9785,0.2615
V,43,2026-09-14,370.45,0.0307,0.1633,0.2134,0.0871,0.2216,-0.1718,-0.0356,-0.3073,0.8278,0.2603
AMGN,44,2026-09-14,377.35,-0.088,0.072,0.0398,0.3717,0.2957,-0.1657,-0.1503,0.0538,0.4571,0.2554
PH,45,2026-09-14,950.23,-0.1097,0.0552,0.0578,0.2449,0.2649,-0.1934,-0.1134,-0.1071,0.6112,0.2521
GILD,46,2026-09-14,143.72,0.0578,0.1493,0.0019,0.2512,0.2669,-0.2159,-0.0662,-0.0991,0.6012,0.251
WM,47,2026-09-14,213.46,-0.0527,-0.02,-0.094,-0.0121,0.2012,-0.1388,-0.123,-0.4332,0.9299,0.2484
SCHW,48,2026-09-14,107.25,-0.0163,0.2127,0.1831,0.1563,0.2467,-0.1983,-0.0563,-0.2195,0.7023,0.2414
DE,49,2026-09-14,675.74,0.0903,0.1914,0.1598,0.436,0.3203,-0.199,-0.0324,0.1354,0.334,0.2347
SLB,50,2026-09-14,56.06,0.0711,0.0063,0.2712,0.594,0.361,-0.2227,-0.0624,0.3359,0.1303,0.2331
GOOGL,51,2026-09-14,338.5,-0.014,-0.0533,0.1165,0.4119,0.3158,-0.2105,-0.1582,0.1048,0.3565,0.2307
VRTX,52,2026-09-14,515.44,-0.0196,0.1582,0.078,0.2971,0.2874,-0.1521,-0.0762,-0.0408,0.4986,0.2289
COST,53,2026-09-14,904.77,-0.0472,-0.0712,-0.0955,-0.0563,0.198,-0.1741,-0.1719,-0.4893,0.9459,0.2283
ABBV,54,2026-09-14,257.12,0.0336,0.1521,0.1585,0.2038,0.2646,-0.1732,-0.0333,-0.1592,0.6127,0.2267
CME,55,2026-09-14,275.54,0.0559,0.0559,-0.1058,0.0909,0.2363,-0.3109,-0.1272,-0.3025,0.7543,0.2259
EOG,56,2026-09-14,147.36,0.0295,0.0873,0.1245,0.2707,0.2826,-0.1496,-0.0372,-0.0743,0.5226,0.2241
ECL,57,2026-09-14,276.18,-0.0081,0.0505,0.0065,0.0154,0.2201,-0.2009,-0.0995,-0.3983,0.8354,0.2185
SBUX,58,2026-09-14,98.74,-0.0846,-0.0291,-0.0029,0.2295,0.2779,-0.1451,-0.0899,-0.1266,0.5461,0.2098
MCD,59,2026-09-14,252.53,-0.0775,-0.1069,-0.2095,-0.1602,0.184,-0.2451,-0.2451,-0.6211,1.016,0.1974
UPS,60,2026-09-14,100.28,-0.0195,-0.0623,0.0583,0.2625,0.2927,-0.199,-0.1346,-0.0847,0.4721,0.1937
DVN,61,2026-09-14,50.23,0.1197,0.134,0.1009,0.4603,0.3446,-0.2215,-0.0285,0.1662,0.2124,0.1893
WFC,62,2026-09-14,90.29,0.0153,0.102,0.2137,0.1355,0.2626,-0.2302,-0.0479,-0.2459,0.6227,0.1884
CVS,63,2026-09-14,94.66,-0.0006,-0.0521,0.2631,0.3079,0.3073,-0.1644,-0.1388,-0.0271,0.399,0.1859
GS,64,2026-09-14,1029.18,-0.0029,-0.0014,0.3191,0.3373,0.315,-0.1942,-0.1023,0.0102,0.3605,0.1853
MA,65,2026-09-14,569.19,0.0169,0.1719,0.1484,-0.0272,0.2253,-0.2087,-0.0511,-0.4524,0.8093,0.1785
MDT,66,2026-09-14,90.96,0.0022,0.1425,0.0589,-0.0035,0.2339,-0.289,-0.1152,-0.4223,0.7663,0.172
